date,region,rainfall,rain_intensity,planting_time
1-Jul-18,"Ngestiharjo, Bantul",0,0,BURUK
1-Aug-18,"Ngestiharjo, Bantul",0,0,BURUK
1-Sep-18,"Ngestiharjo, Bantul",1,3,BURUK
1-Oct-18,"Ngestiharjo, Bantul",0,0,BURUK
1-Nov-18,"Ngestiharjo, Bantul",331,11,BAIK
1-Dec-18,"Ngestiharjo, Bantul",166,18,BURUK
1-Jan-19,"Ngestiharjo, Bantul",392,23,BAIK
1-Feb-19,"Ngestiharjo, Bantul",311,17,BAIK
1-Mar-19,"Ngestiharjo, Bantul",536,21,BAIK
1-Apr-19,"Ngestiharjo, Bantul",247,12,BURUK
1-May-19,"Ngestiharjo, Bantul",17,2,BURUK
1-Jun-19,"Ngestiharjo, Bantul",0,1,BURUK
1-Jul-19,"Ngestiharjo, Bantul",0,1,BURUK
1-Aug-19,"Ngestiharjo, Bantul",0,1,BURUK
1-Sep-19,"Ngestiharjo, Bantul",0,0,BURUK
1-Oct-19,"Ngestiharjo, Bantul",0,0,BURUK
1-Nov-19,"Ngestiharjo, Bantul",101,6,BURUK
1-Dec-19,"Ngestiharjo, Bantul",257,18,BAIK
