date,region,rainfall,rain_intensity,planting_time
3/1/2015,"Ngestiharjo, Bantul",485,20,BAIK
4/1/2015,"Ngestiharjo, Bantul",310,12,BAIK
5/1/2015,"Ngestiharjo, Bantul",104,5,BURUK
6/1/2015,"Ngestiharjo, Bantul",50,2,BURUK
7/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
8/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
9/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
10/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
11/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
12/1/2015,"Ngestiharjo, Bantul",0,0,BURUK
1/1/2016,"Ngestiharjo, Bantul",198,9,BURUK
2/1/2016,"Ngestiharjo, Bantul",347,11,BAIK
3/1/2016,"Ngestiharjo, Bantul",575,20,BAIK
4/1/2016,"Ngestiharjo, Bantul",136,10,BURUK
5/1/2016,"Ngestiharjo, Bantul",171,8,BURUK
6/1/2016,"Ngestiharjo, Bantul",344,5,BAIK
7/1/2016,"Ngestiharjo, Bantul",138,8,BURUK
8/1/2016,"Ngestiharjo, Bantul",157,7,BURUK
9/1/2016,"Ngestiharjo, Bantul",294,9,BAIK
10/1/2016,"Ngestiharjo, Bantul",269,11,BAIK
11/1/2016,"Ngestiharjo, Bantul",0,0,BURUK
12/1/2016,"Ngestiharjo, Bantul",0,0,BURUK
1/1/2017,"Ngestiharjo, Bantul",430,15,BAIK
2/1/2017,"Ngestiharjo, Bantul",451,14,BAIK
3/1/2017,"Ngestiharjo, Bantul",572,11,BAIK
4/1/2017,"Ngestiharjo, Bantul",234,6,BURUK
5/1/2017,"Ngestiharjo, Bantul",39,2,BURUK
6/1/2017,"Ngestiharjo, Bantul",20,1,BURUK
7/1/2017,"Ngestiharjo, Bantul",18,2,BURUK
8/1/2017,"Ngestiharjo, Bantul",0,0,BURUK
9/1/2017,"Ngestiharjo, Bantul",41,3,BURUK
10/1/2017,"Ngestiharjo, Bantul",61,8,BURUK
11/1/2017,"Ngestiharjo, Bantul",559,15,BAIK
12/1/2017,"Ngestiharjo, Bantul",349,12,BAIK
1/1/2018,"Ngestiharjo, Bantul",527,26,BAIK
2/1/2018,"Ngestiharjo, Bantul",329,21,BAIK
3/1/2018,"Ngestiharjo, Bantul",235,15,BURUK
4/1/2018,"Ngestiharjo, Bantul",97,15,BURUK
5/1/2018,"Ngestiharjo, Bantul",22,7,BURUK
6/1/2018,"Ngestiharjo, Bantul",16,1,BURUK
7/1/2018,"Ngestiharjo, Bantul",0,0,BURUK
8/1/2018,"Ngestiharjo, Bantul",0,0,BURUK
9/1/2018,"Ngestiharjo, Bantul",1,3,BURUK
10/1/2018,"Ngestiharjo, Bantul",0,0,BURUK
11/1/2018,"Ngestiharjo, Bantul",331,11,BAIK
12/1/2018,"Ngestiharjo, Bantul",166,18,BURUK
1/1/2019,"Ngestiharjo, Bantul",392,23,BAIK
2/1/2019,"Ngestiharjo, Bantul",311,17,BAIK
3/1/2019,"Ngestiharjo, Bantul",536,21,BAIK
4/1/2019,"Ngestiharjo, Bantul",247,12,BURUK
5/1/2019,"Ngestiharjo, Bantul",17,2,BURUK
6/1/2019,"Ngestiharjo, Bantul",0,1,BURUK
7/1/2019,"Ngestiharjo, Bantul",0,1,BURUK
8/1/2019,"Ngestiharjo, Bantul",0,1,BURUK
9/1/2019,"Ngestiharjo, Bantul",0,0,BURUK
10/1/2019,"Ngestiharjo, Bantul",0,0,BURUK
11/1/2019,"Ngestiharjo, Bantul",101,6,BURUK
12/1/2019,"Ngestiharjo, Bantul",257,18,BAIK
